"","target","opponent","victory.rate"
"1","Crab","Crab",1
"2","Crab","Crane",0.466666666666667
"3","Crab","Dragon",0.285714285714286
"4","Crab","Lion",0.625
"5","Crab","Phoenix",0.4
"6","Crab","Scorpion",0.461538461538462
"7","Crab","Unicorn",0.6
"8","Crane","Crab",0.533333333333333
"9","Crane","Crane",1
"10","Crane","Dragon",0.428571428571429
"11","Crane","Lion",0.571428571428571
"12","Crane","Phoenix",1
"13","Crane","Scorpion",0.545454545454545
"14","Crane","Unicorn",0.384615384615385
"15","Dragon","Crab",0.714285714285714
"16","Dragon","Crane",0.571428571428571
"17","Dragon","Dragon",1
"18","Dragon","Lion",0.875
"19","Dragon","Phoenix",0.333333333333333
"20","Dragon","Scorpion",0.181818181818182
"21","Dragon","Unicorn",0.8
"22","Lion","Crab",0.375
"23","Lion","Crane",0.428571428571429
"24","Lion","Dragon",0.125
"25","Lion","Lion",1
"26","Lion","Phoenix",0.375
"27","Lion","Scorpion",0.2
"28","Lion","Unicorn",1
"29","Phoenix","Crab",0.6
"30","Phoenix","Crane",0
"31","Phoenix","Dragon",0.666666666666667
"32","Phoenix","Lion",0.625
"33","Phoenix","Phoenix",1
"34","Phoenix","Scorpion",0.571428571428571
"35","Phoenix","Unicorn",0.5
"36","Scorpion","Crab",0.538461538461538
"37","Scorpion","Crane",0.454545454545455
"38","Scorpion","Dragon",0.818181818181818
"39","Scorpion","Lion",0.8
"40","Scorpion","Phoenix",0.428571428571429
"41","Scorpion","Scorpion",1
"42","Scorpion","Unicorn",0.833333333333333
"43","Unicorn","Crab",0.4
"44","Unicorn","Crane",0.615384615384615
"45","Unicorn","Dragon",0.2
"46","Unicorn","Lion",0
"47","Unicorn","Phoenix",0.5
"48","Unicorn","Scorpion",0.166666666666667
"49","Unicorn","Unicorn",1
